driver,lap,lap_time_s,compound,position
HAM,1,77.453,SOFT,2
HAM,2,73.458,SOFT,2
HAM,3,73.363,SOFT,2
HAM,4,73.644,SOFT,2
HAM,5,73.587,SOFT,2
HAM,6,73.447,SOFT,2
HAM,7,73.643,SOFT,2
HAM,8,73.525,SOFT,2
HAM,9,73.633,SOFT,2
HAM,10,73.677,SOFT,2
HAM,11,73.468,SOFT,2
HAM,12,73.594,SOFT,2
HAM,13,73.490,SOFT,2
HAM,14,73.479,SOFT,2
HAM,15,73.658,SOFT,2
HAM,16,73.719,SOFT,2
HAM,17,73.810,SOFT,2
HAM,18,73.704,SOFT,2
HAM,19,73.735,SOFT,2
HAM,20,77.566,SOFT,2
HAM,21,88.757,SOFT,6
HAM,22,73.683,SOFT,4
HAM,23,74.039,SOFT,5
HAM,24,73.164,SOFT,4
HAM,25,73.153,SOFT,4
HAM,26,73.116,SOFT,2
HAM,27,73.027,SOFT,2
HAM,28,73.043,SOFT,2
HAM,29,73.124,SOFT,2
HAM,30,73.105,SOFT,2
HAM,31,72.791,SOFT,2
HAM,32,73.029,SOFT,2
HAM,33,72.622,SOFT,2
HAM,34,72.925,SOFT,2
HAM,35,72.819,SOFT,2
HAM,36,72.591,SOFT,2
HAM,37,72.455,SOFT,2
HAM,38,72.611,SOFT,2
HAM,39,72.466,SOFT,2
HAM,40,73.402,SOFT,2
HAM,41,72.798,SOFT,2
HAM,42,72.671,SOFT,2
HAM,43,76.098,SOFT,2
HAM,44,88.981,MEDIUM,3
HAM,45,71.154,MEDIUM,3
HAM,46,71.082,MEDIUM,3
HAM,47,71.357,MEDIUM,3
HAM,48,71.941,MEDIUM,3
HAM,49,71.565,MEDIUM,2
HAM,50,71.846,MEDIUM,2
HAM,51,71.728,MEDIUM,2
HAM,52,71.436,MEDIUM,2
HAM,53,72.326,MEDIUM,2
HAM,54,86.514,MEDIUM,1
HAM,55,109.451,MEDIUM,1
HAM,56,117.303,MEDIUM,1
HAM,57,120.582,MEDIUM,1
HAM,58,107.994,MEDIUM,1
HAM,59,119.585,MEDIUM,1
HAM,60,73.255,MEDIUM,2
HAM,61,71.526,MEDIUM,2
HAM,62,71.731,MEDIUM,2
HAM,63,71.672,MEDIUM,2
HAM,64,71.413,MEDIUM,2
HAM,65,71.446,MEDIUM,2
HAM,66,86.082,MEDIUM,3
HAM,67,111.583,SOFT,4
HAM,68,115.649,SOFT,4
HAM,69,136.760,SOFT,4
HAM,70,75.616,SOFT,3
HAM,71,72.097,SOFT,3
VER,1,76.111,SOFT,1
VER,2,73.099,SOFT,1
VER,3,73.007,SOFT,1
VER,4,73.336,SOFT,1
VER,5,73.462,SOFT,1
VER,6,73.493,SOFT,1
VER,7,73.605,SOFT,1
VER,8,73.518,SOFT,1
VER,9,73.683,SOFT,1
VER,10,73.719,SOFT,1
VER,11,73.484,SOFT,1
VER,12,73.611,SOFT,1
VER,13,73.664,SOFT,1
VER,14,73.646,SOFT,1
VER,15,73.556,SOFT,1
VER,16,73.494,SOFT,1
VER,17,73.689,SOFT,1
VER,18,73.901,SOFT,1
VER,19,73.968,SOFT,1
VER,20,74.015,SOFT,1
VER,21,78.141,SOFT,1
VER,22,90.128,SOFT,5
VER,23,72.448,SOFT,3
VER,24,72.667,SOFT,3
VER,25,72.637,SOFT,3
