driver,driver_id,lap,clip,utc,featured,dataset_id,row
HAM,LEWHAM01,2,HAM_lap02_171426.mp3,17:14:26,0,2019_Brazilian_Grand_Prix_LEWHAM01_44_20191117_171402,3339
HAM,LEWHAM01,5,HAM_lap05_171832.mp3,17:18:32,0,2019_Brazilian_Grand_Prix_LEWHAM01_44_20191117_171738,3340
HAM,LEWHAM01,12,HAM_lap12_172743.mp3,17:27:43,0,2019_Brazilian_Grand_Prix_LEWHAM01_44_20191117_172648,3341
HAM,LEWHAM01,15,HAM_lap15_173047.mp3,17:30:47,0,2019_Brazilian_Grand_Prix_LEWHAM01_44_20191117_172951,3342
HAM,LEWHAM01,17,HAM_lap17_173249.mp3,17:32:49,0,2019_Brazilian_Grand_Prix_LEWHAM01_44_20191117_173207,3343
HAM,LEWHAM01,21,HAM_lap21_173757.mp3,17:37:57,0,2019_Brazilian_Grand_Prix_LEWHAM01_44_20191117_173731,3344
HAM,LEWHAM01,25,HAM_lap25_174300.mp3,17:43:00,0,2019_Brazilian_Grand_Prix_LEWHAM01_44_20191117_174212,3345
HAM,LEWHAM01,26,HAM_lap26_174503.mp3,17:45:03,1,2019_Brazilian_Grand_Prix_LEWHAM01_44_20191117_174446,3346
HAM,LEWHAM01,27,HAM_lap27_174605.mp3,17:46:05,0,2019_Brazilian_Grand_Prix_LEWHAM01_44_20191117_174513,3347
HAM,LEWHAM01,29,HAM_lap29_174808.mp3,17:48:08,0,2019_Brazilian_Grand_Prix_LEWHAM01_44_20191117_174801,3349
HAM,LEWHAM01,29,HAM_lap29_174808b.mp3,17:48:08,0,2019_Brazilian_Grand_Prix_LEWHAM01_44_20191117_174723,3348
HAM,LEWHAM01,31,HAM_lap31_175013.mp3,17:50:13,0,2019_Brazilian_Grand_Prix_LEWHAM01_44_20191117_175010,3350
HAM,LEWHAM01,31,HAM_lap31_175113.mp3,17:51:13,0,2019_Brazilian_Grand_Prix_LEWHAM01_44_20191117_175041,3351
HAM,LEWHAM01,34,HAM_lap34_175416.mp3,17:54:16,1,2019_Brazilian_Grand_Prix_LEWHAM01_44_20191117_175332,3352
HAM,LEWHAM01,42,HAM_lap42_180329.mp3,18:03:29,1,2019_Brazilian_Grand_Prix_LEWHAM01_44_20191117_180327,3353
HAM,LEWHAM01,43,HAM_lap43_180530.mp3,18:05:30,0,2019_Brazilian_Grand_Prix_LEWHAM01_44_20191117_180506,3354
HAM,LEWHAM01,44,HAM_lap44_180634.mp3,18:06:34,0,2019_Brazilian_Grand_Prix_LEWHAM01_44_20191117_180631,3355
HAM,LEWHAM01,49,HAM_lap49_181240.mp3,18:12:40,0,2019_Brazilian_Grand_Prix_LEWHAM01_44_20191117_181210,3356
HAM,LEWHAM01,55,HAM_lap55_181948.mp3,18:19:48,0,2019_Brazilian_Grand_Prix_LEWHAM01_44_20191117_181852,3357
HAM,LEWHAM01,55,HAM_lap55_181948b.mp3,18:19:48,1,2019_Brazilian_Grand_Prix_LEWHAM01_44_20191117_181925,3358
HAM,LEWHAM01,56,HAM_lap56_182251.mp3,18:22:51,1,2019_Brazilian_Grand_Prix_LEWHAM01_44_20191117_182153,3359
HAM,LEWHAM01,56,HAM_lap56_182251b.mp3,18:22:51,0,2019_Brazilian_Grand_Prix_LEWHAM01_44_20191117_182241,3360
HAM,LEWHAM01,57,HAM_lap57_182353.mp3,18:23:53,1,2019_Brazilian_Grand_Prix_LEWHAM01_44_20191117_182301,3361
HAM,LEWHAM01,57,HAM_lap57_182353b.mp3,18:23:53,0,2019_Brazilian_Grand_Prix_LEWHAM01_44_20191117_182335,3362
HAM,LEWHAM01,58,HAM_lap58_182556.mp3,18:25:56,0,2019_Brazilian_Grand_Prix_LEWHAM01_44_20191117_182519,3363
HAM,LEWHAM01,59,HAM_lap59_182759.mp3,18:27:59,0,2019_Brazilian_Grand_Prix_LEWHAM01_44_20191117_182745,3364
HAM,LEWHAM01,69,HAM_lap69_184318.mp3,18:43:18,0,2019_Brazilian_Grand_Prix_LEWHAM01_44_20191117_184215,3365
VER,MAXVER01,12,VER_lap12_172743.mp3,17:27:43,1,2019_Brazilian_Grand_Prix_MAXVER01_33_20191117_172706,3369
VER,MAXVER01,19,VER_lap19_173552.mp3,17:35:52,0,2019_Brazilian_Grand_Prix_MAXVER01_33_20191117_173527,3370
VER,MAXVER01,22,VER_lap22_173857.mp3,17:38:57,0,2019_Brazilian_Grand_Prix_MAXVER01_33_20191117_173855,3371
VER,MAXVER01,24,VER_lap24_174159.mp3,17:41:59,1,2019_Brazilian_Grand_Prix_MAXVER01_33_20191117_174126,3372
VER,MAXVER01,26,VER_lap26_174402.mp3,17:44:02,0,2019_Brazilian_Grand_Prix_MAXVER01_33_20191117_174305,3373
VER,MAXVER01,26,VER_lap26_174503.mp3,17:45:03,0,2019_Brazilian_Grand_Prix_MAXVER01_33_20191117_174404,3374
VER,MAXVER01,26,VER_lap26_174503b.mp3,17:45:03,0,2019_Brazilian_Grand_Prix_MAXVER01_33_20191117_174436,3375
VER,MAXVER01,32,VER_lap32_175214.mp3,17:52:14,0,2019_Brazilian_Grand_Prix_MAXVER01_33_20191117_175129,3376
VER,MAXVER01,42,VER_lap42_180327.mp3,18:03:27,0,2019_Brazilian_Grand_Prix_MAXVER01_33_20191117_180232,3377
VER,MAXVER01,42,VER_lap42_180329.mp3,18:03:29,0,2019_Brazilian_Grand_Prix_MAXVER01_33_20191117_180249,3378
VER,MAXVER01,45,VER_lap45_180734.mp3,18:07:34,0,2019_Brazilian_Grand_Prix_MAXVER01_33_20191117_180644,3379
VER,MAXVER01,46,VER_lap46_180936.mp3,18:09:36,0,2019_Brazilian_Grand_Prix_MAXVER01_33_20191117_180844,3380
VER,MAXVER01,46,VER_lap46_180936b.mp3,18:09:36,0,2019_Brazilian_Grand_Prix_MAXVER01_33_20191117_180901,3381
VER,MAXVER01,49,VER_lap49_181240.mp3,18:12:40,0,2019_Brazilian_Grand_Prix_MAXVER01_33_20191117_181222,3382
VER,MAXVER01,51,VER_lap51_181442.mp3,18:14:42,0,2019_Brazilian_Grand_Prix_MAXVER01_33_20191117_181435,3383
VER,MAXVER01,54,VER_lap54_181847.mp3,18:18:47,0,2019_Brazilian_Grand_Prix_MAXVER01_33_20191117_181807,3384
VER,MAXVER01,59,VER_lap59_182901.mp3,18:29:01,1,2019_Brazilian_Grand_Prix_MAXVER01_33_20191117_182834,3385
VER,MAXVER01,60,VER_lap60_183001.mp3,18:30:01,1,2019_Brazilian_Grand_Prix_MAXVER01_33_20191117_182930,3386
VER,MAXVER01,63,VER_lap63_183304.mp3,18:33:04,1,2019_Brazilian_Grand_Prix_MAXVER01_33_20191117_183302,3387
VER,MAXVER01,64,VER_lap64_183507.mp3,18:35:07,0,2019_Brazilian_Grand_Prix_MAXVER01_33_20191117_183401,3388
VER,MAXVER01,65,VER_lap65_183607.mp3,18:36:07,0,2019_Brazilian_Grand_Prix_MAXVER01_33_20191117_183501,3389
VER,MAXVER01,67,VER_lap67_183912.mp3,18:39:12,1,2019_Brazilian_Grand_Prix_MAXVER01_33_20191117_183857,3390
VER,MAXVER01,68,VER_lap68_184113.mp3,18:41:13,0,2019_Brazilian_Grand_Prix_MAXVER01_33_20191117_184039,3391
SAI,CARSAI01,17,SAI_lap17_173351.mp3,17:33:51,0,2019_Brazilian_Grand_Prix_CARSAI01_55_20191117_173252,3290
SAI,CARSAI01,19,SAI_lap19_173653.mp3,17:36:53,1,2019_Brazilian_Grand_Prix_CARSAI01_55_20191117_173623,3291
SAI,CARSAI01,22,SAI_lap22_173957.mp3,17:39:57,1,2019_Brazilian_Grand_Prix_CARSAI01_55_20191117_173933,3292
SAI,CARSAI01,28,SAI_lap28_174708.mp3,17:47:08,0,2019_Brazilian_Grand_Prix_CARSAI01_55_20191117_174638,3293
SAI,CARSAI01,30,SAI_lap30_175013.mp3,17:50:13,0,2019_Brazilian_Grand_Prix_CARSAI01_55_20191117_174951,3294
SAI,CARSAI01,36,SAI_lap36_175720.mp3,17:57:20,0,2019_Brazilian_Grand_Prix_CARSAI01_55_20191117_175628,3295
SAI,CARSAI01,42,SAI_lap42_180530.mp3,18:05:30,1,2019_Brazilian_Grand_Prix_CARSAI01_55_20191117_180420,3296
SAI,CARSAI01,52,SAI_lap52_181746.mp3,18:17:46,1,2019_Brazilian_Grand_Prix_CARSAI01_55_20191117_181737,3297
SAI,CARSAI01,57,SAI_lap57_182556.mp3,18:25:56,0,2019_Brazilian_Grand_Prix_CARSAI01_55_20191117_182528,3298
SAI,CARSAI01,58,SAI_lap58_182657.mp3,18:26:57,1,2019_Brazilian_Grand_Prix_CARSAI01_55_20191117_182607,3299
SAI,CARSAI01,69,SAI_lap69_184215.mp3,18:42:15,1,2019_Brazilian_Grand_Prix_CARSAI01_55_20191117_184122,3300
VET,SEBVET01,8,VET_lap08_172237.mp3,17:22:37,1,2019_Brazilian_Grand_Prix_SEBVET01_5_20191117_172213,3408
